"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"824","MUC1",1.92912883927932,10.9436533155749,11.2168431179556,4.20415679013983e-28,3.02009411008989e-27,52.3797904949952
"825","MATN3",1.02134433700901,6.60793988146114,11.2043770990284,4.78792881602544e-28,3.42692468798971e-27,52.2508390642173
"826","REPS2",1.30244364508414,7.75851340645258,11.1533444855546,8.14275853010508e-28,5.76743401535597e-27,51.7242118105474
"827","POSTN",1.50795398576955,8.68431171599639,11.1468867136245,8.70748489614927e-28,6.16002311493184e-27,51.6577165167166
"828","HOXC13",1.02085684472119,6.62488255975381,11.0840575102342,1.66911447641037e-27,1.17003403209646e-26,51.0124734992802
"829","SKAP1",1.1262368939199,7.88972499236743,11.0685286701003,1.95941548298923e-27,1.37081575285394e-26,50.8534728171299
"830","ARNT2",1.18217720977086,7.21386538378639,11.037756588996,2.69082753165476e-27,1.87435902815463e-26,50.538955493784
"831","SPP1",1.9322122878797,9.17390728032465,11.0010412819556,3.92493545276296e-27,2.71582192556987e-26,50.1646679154269
"832","COL5A2",1.20459500997268,10.8918282281304,10.9806165677341,4.83992198286943e-27,3.33458746353832e-26,49.9569114986011
"833","KLK5",-1.72685431037963,6.4453878024611,-10.9331909785505,7.86331299990573e-27,5.37574618153586e-26,49.4757764136069
"834","FGD3",1.36048824398131,9.11702652558533,10.8959277732514,1.14993552279927e-26,7.80420554728623e-26,49.0989858677238
"835","NR4A2",-1.22758589220362,7.77115631246652,-10.8930026736454,1.18470728492861e-26,8.03710511747121e-26,49.0694549322148
"836","HIST1H4H",1.51495542657088,7.42777443996993,10.8411445338453,2.00675030605432e-26,1.34538991330086e-25,48.547035700022
"837","TAGLN",-1.15930583127412,9.57675270229477,-10.7617933541144,4.47655272467149e-26,2.95529344862038e-25,47.7517825889294
"838","PODN",-1.22396740973777,9.03099669344181,-10.7608760115579,4.51813701496733e-26,2.98163325547434e-25,47.7426183039583
"839","PDE8B",-1.13310557600325,6.75850574484711,-10.736907621854,5.75148035291808e-26,3.7730223116361e-25,47.5034106904153
"840","LMO3",-1.12442818041831,6.3643773418867,-10.7227511280586,6.63128073019692e-26,4.3357053972001e-25,47.3623420404225
"841","SLC38A1",1.11452331645059,9.77382754861951,10.7181748857794,6.94330118148004e-26,4.53635850371836e-25,47.3167742148176
"842","ELF5",-1.90840143116496,7.19651656120286,-10.704731094685,7.94670208927767e-26,5.18426311881095e-25,47.1830045761476
