name,logFC,AveExpr,t,P.Value,adj.P.Val,B
FLG-AS1,-0.2564604828467502,0.69875174572018,-19.201972656204894,7.753431099195861e-75,3.610807500216574e-73,158.36463514069447
VTRNA1-2,-0.2720527498331997,0.4183419539578004,-19.17801069153305,1.1361176145571833e-74,5.2369611947207305e-73,157.98342278955434
ARHGEF7-AS1,-0.25702696348915605,0.6548522312558919,-19.177691902011237,1.1419048133802773e-74,5.2457945867557686e-73,157.97835325709258
SKOR2,0.2141130156385223,0.31659988576772946,19.15439782375055,1.6550191584659382e-74,7.551791123074207e-73,157.60807053061603
CFTR,0.28172223783340594,0.3493411922565009,19.133989880072985,2.2903490460108986e-74,1.0415708144811979e-72,157.28390932226546
MAEA,0.26987881393872226,0.37491577434343365,19.129383966319768,2.4645233806552868e-74,1.1170307978140618e-72,157.21078015442012
CD40,0.2509974087386171,0.2695304978894513,19.11909391659808,2.9028789586381056e-74,1.311327188248787e-72,157.04744455774994
GHSR,0.25743569699995833,0.28993275745040614,19.101346554364234,3.849374426806358e-74,1.727374908347012e-72,156.76587404537406
SORBS2,0.21326813552506013,0.6551433350885627,19.093552184921446,4.357060868545772e-74,1.9487422076083267e-72,156.64226712280504
DNM3,0.2604060595207664,0.2709626653951154,19.07228035587037,6.108815046355097e-74,2.7232454443488247e-72,156.30509757538476
GALR1,0.2369404348330299,0.2373002363823113,19.050632204321147,8.614035033430099e-74,3.8149478030406764e-72,155.96221813809882
LZTS1-AS1,-0.21506053492944807,0.5314824477865544,-19.04986538771245,8.719494085297386e-74,3.8490743923110803e-72,155.95007745131014
ELAVL3,0.26480944064055817,0.3183218455886448,19.048114052450703,8.96520870293557e-74,3.944691829291651e-72,155.92235050442082
NPTX2,0.20719082626135552,0.2284507495905419,19.04317975438529,9.69528570036256e-74,4.238403606816562e-72,155.84424030970217
VAMP5,0.2737270593195055,0.45233692988611945,19.006804261232734,1.7259594666155848e-73,7.520965495683089e-72,155.26882781148788
GRM1,0.20340783313050698,0.25857544694114887,18.98125778660676,2.5867070945412838e-73,1.119969793777108e-71,154.8651520063049
NID2,0.23304490319374413,0.2330019397338575,18.965387543355224,3.325289417592469e-73,1.4351694964080619e-71,154.61455777197352
BRINP1,0.20119319385097942,0.2266158013125628,18.95277186003939,4.0597468905420283e-73,1.7465933289087484e-71,154.4154529600378
